Sentence,Language,Structure,Tense
আমরা কত সুখী পরিবার হয়ে উঠব!,Bangla,Simple,Future
"How skillfully they dance together when the music starts, and what a perfect harmony they create on the floor!",English,Compound,Present
"How gently let the snow fall as it covers the ground, and how brightly let the stars shine when the night is clear!",English,Compound-complex,Present
পার্টি কোথায় হবে?,Bangla,Simple,Future
নৌকাটা কত স্থিরভাবে ভাসছে!,Bangla,Simple,Present
তুমি তোমার যন্ত্রপাতি বাইরে ফেলে রাখবে না।,Bangla,Simple,Future
You will please take the bus to school.,English,Simple,Future
সে নিয়মিত জিমে ব্যায়াম করে।,Bangla,Simple,Present
You will not switch teams without notice.,English,Simple,Future
Don’t forget your library book.,English,Simple,Present
Help your grandparents when they need it.,English,Simple,Present
"আমি স্কুলের জন্য একটি কবিতা লিখেছিলাম, কিন্তু আমি সেটা কঠিন মনে করেছিলাম।",Bangla,Compound,Past
Take a short walk during breaks.,English,Simple,Present
"The children will play outside after school, but it might rain.",English,Compound,Future
"How fast the bike speeds down the hill when the brakes are loose, and what thrilling excitement it brings!",English,Compound,Present
"He greeted everyone at the door as they arrived, and he made sure they felt welcome.",English,Compound-complex,Past
"How soft the moss feels underfoot, and how pleasantly it cushions each step!",English,Compound,Present
"Does he read newspapers online, or does he prefer printed copies?",English,Compound,Present
"সে কি পিয়ানো লেসন নেয়, নাকি নিজেরাই শিখে?",Bangla,Compound,Present
আমরা নতুন একটি রেস্টুরেন্টে রাতের খাবার খেয়েছিলাম।,Bangla,Simple,Past
"সে কি ফ্যান্টাসি বই পড়তে পছন্দ করে, নাকি ভিন্ন ধরনের বই পছন্দ করে যখন বৈচিত্র্য চায়?",Bangla,Compound-complex,Present
আমরা সূর্যাস্ত দেখা উপভোগ করি।,Bangla,Simple,Present
আমরা পার্কে কত শান্তিপূর্ণ বিকেল কাটাব!,Bangla,Simple,Future
Will you help me tomorrow?,English,Simple,Future
"The children laughed during the puppet show, and they clapped loudly when the clown fell.",English,Compound-complex,Past
তারা বাগানে গাছ লাগাবে।,Bangla,Simple,Future
"She visited her grandparents, and her parents stayed at home.",English,Compound,Past
He jogs around the neighborhood every morning.,English,Simple,Present
সে সুন্দরভাবে নাচে।,Bangla,Simple,Present
You will not forget to check your schedule.,English,Simple,Future
সে শনিবারে যোগব্যায়াম কত অসাধারণভাবে শেখাত!,Bangla,Simple,Past
বাইরে ঠান্ডা থাকলে জানালা বন্ধ করে দাও।,Bangla,Simple,Present
Do the birds sing in the morning?,English,Simple,Present
"We danced all night, and we were very tired.",English,Compound,Past
"I organize my bookshelves regularly, so I can find my books easily.",English,Compound,Present
তারা পার্কে ফুটবল খেলেছিল।,Bangla,Simple,Past
He will repair his computer tomorrow.,English,Simple,Future
"Does the cat like to play with toys, or does it prefer resting?",English,Compound,Present
"The car needed a wash, as it had accumulated a lot of dirt.",English,Complex,Past
"সে কাজে যাওয়ার জন্য বাইক চালায়, কিন্তু বৃষ্টি হলে বাস নেয় কারণ ভিজা রাস্তা বাইক চালানো নিরাপদ নয়।",Bangla,Compound-complex,Present
"ঘর আলোকিত করতে যে মোমবাতি জ্বলে উঠছে, সেটি জ্বালাও!",Bangla,Complex,Present
"Does she wear a hat when it rains, or does she use an umbrella although hats are easier?",English,Compound-complex,Present
"What a lovely voice she has, and what beautiful songs she sings!",English,Compound,Present
I enjoy reading science fiction because it sparks my imagination.,English,Complex,Present
"When do they play soccer, and who do they usually play with?",English,Compound,Present
"বিড়ালটি তার পা ললিপপ করছিল, এবং নিজেকে পরিষ্কার করা শেষ করেছিল কারণ এটি বাইরে খেলছিল।",Bangla,Compound-complex,Past
I call my friend every weekend.,English,Simple,Present
Do we watch TV in the evenings?,English,Simple,Present
We will travel to Japan because we want to explore the culture next year.,English,Complex,Future
"Use a dictionary when reading new words to understand them better, and write down their meanings to remember them.",English,Compound-complex,Present
আমরা আগামী বছর জাপানে ভ্রমণ করব কারণ আমরা সেখানে সংস্কৃতি অন্বেষণ করতে চাই।,Bangla,Complex,Future
"How clear the water is when the sunlight hits the surface, and how refreshing it looks to dive in!",English,Compound,Present
"Drink tea in the evening, and avoid caffeine late at night.",English,Compound,Present
"Does she teach yoga on Saturdays, or does she do it during the week?",English,Compound,Present
"তার ব্যাকপ্যাক ভারী, কিন্তু সে তবুও তা ক্লাসে নিয়ে যায়।",Bangla,Compound,Present
"আমি শনিবার গ্যারেজ পরিষ্কার করেছিলাম, যেন পার্টির জন্য প্রস্তুত থাকে।",Bangla,Compound,Past
আমার বাবা-মা প্রতিদিন রাতে রান্না করেন কারণ তারা একসাথে রান্না করতে পছন্দ করে।,Bangla,Complex,Present
"তুমি কি প্রতিদিন সংবাদপত্র পড়ো, না কি অন্য কোনো সংবাদ মাধ্যম পছন্দ করো?",Bangla,Compound,Present
অনুপ্রাণিত বোধ করলে সে তার স্টুডিওতে ল্যান্ডস্কেপ আঁকে।,Bangla,Complex,Present
"Stay seated during the lesson unless the teacher says otherwise, and raise your hand if you want to speak.",English,Compound-complex,Present
They watch movies on Friday nights because it’s a tradition.,English,Complex,Present
"সে প্রতিদিন সন্ধ্যায় খবর দেখে, আর চলমান ঘটনাবলী সম্পর্কে আপডেট থাকে।",Bangla,Compound,Present
বসন্তে ফুলগুলো কত সুন্দরভাবে ফুটবে!,Bangla,Simple,Future
Keep your hands to yourself to respect others’ personal space.,English,Complex,Present
তুমি সদ্য তুললেও ফুলগুলোর তোড়া কতটা সতেজ দেখায়!,Bangla,Complex,Present
"কী সুস্বাদু খাবার ছিল তা, এবং প্রতিটি কামড় কতটা চমৎকার লেগেছে কারণ শেফ তাজা উপকরণ ব্যবহার করেছিলেন!",Bangla,Compound-complex,Present
"তারা বাগানে ফুল রোপণ করেছিল, আর তারা চেয়েছিল এটা সুন্দর দেখাক।",Bangla,Compound,Past
"তুমি যে চালাক পরিকল্পনা করেছো সমস্যার সমাধান করার জন্য, আর বন্য মৌমাছির তৈরি মধুটি কত মিষ্টি!",Bangla,Compound,Present
What fun we had playing board games on rainy days!,English,Simple,Past
লিখতে পেন্সিল ব্যবহার করো।,Bangla,Simple,Present
"What a funnily strange face you make when you laugh at jokes, yet how loudly the thunder that shakes the sky roars during the storm!",English,Compound-complex,Present
"শিক্ষকদের সাথে সৎ হও, এবং প্রয়োজনে সাহায্য চাও।",Bangla,Compound,Present
সে তার বাইকে কত শক্তিশালীভাবে যাবে কাজে!,Bangla,Simple,Future
আমি কাজ করার সময় মনোযোগ রাখতে গান শুনি।,Bangla,Complex,Present
"The baby will smile at her parents, and she will reach out her hands when she sees them.",English,Compound-complex,Future
"তোমার কি সাইকেল আছে, নাকি অন্য কোনো যান ব্যবহার করো?",Bangla,Compound,Present
তারা পরীক্ষার আগে কত ভালো একসাথে পড়াশোনা করত!,Bangla,Simple,Past
Did he watch TV after dinner?,English,Simple,Past
"ক্লাস শেষে বইগুলো গুছিয়ে রাখো, এবং ঘর পরিপাটি রাখো।",Bangla,Compound,Present
"কুকুরটি ডাকপিয়নকে ঘেউ ঘেউ করছিল, এবং সে ভয় পেয়ে দ্রুত চলে গিয়েছিল।",Bangla,Compound-complex,Past
"তুমি কত মজার টুপি পরেছো, আর তা তোমার পোশাকের সঙ্গে কত নিখুঁত মানায়!",Bangla,Compound,Present
"তারা কি সপ্তাহান্তে তাস খেলে, নাকি বন্ধু না থাকলে অন্য কিছু করে?",Bangla,Compound-complex,Present
"তোমার কাপড় গুছিয়ে ভাঁজ করে রাখো, আর ঠিকঠাক জায়গায় রেখে দাও যাতে ঘর পরিপাটি দেখায়।",Bangla,Compound-complex,Present
I cleaned my bedroom yesterday because it was messy.,English,Complex,Past
How did they celebrate their anniversary?,English,Simple,Past
"তারা কত সুখী পরিবার, ভালোবাসায় পরিপূর্ণ, আর পাতারা ঝরে যাওয়া বাতাস কত কোমলভাবে বইছে!",Bangla,Compound,Present
"আমি যাওয়ার আগে গেট লক করে দিয়েছিলাম, যাতে কুকুরটি পালিয়ে না যায় যদিও সে খুব উত্তেজিত ছিল।",Bangla,Compound-complex,Past
"I will clean my room tomorrow, and I will finish my homework first.",English,Compound,Future
ভিড়টি কত জোরে প্রশংসা করল!,Bangla,Simple,Past
"তোমার হোমওয়ার্কের ছবি তুলে, প্রয়োজনে শিক্ষককে পাঠাও।",Bangla,Compound,Present
Do we play board games on rainy days?,English,Simple,Present
Take notes during lectures.,English,Simple,Present
"দোকানটি হস্তনির্মিত গহনা বিক্রি করে, এবং অনেক মানুষ অনন্য ডিজাইন পছন্দ করে।",Bangla,Compound,Present
"How well they study together before exams, and their teamwork shows in their high scores!",English,Compound-complex,Present
"শিশুরা কি ভিডিও গেম খেলতে ভালোবাসে, যদিও মাঝে মাঝে ক্লান্ত হয়ে পড়ে?",Bangla,Complex,Present
তোমার হাত নিজে নিজে রাখো।,Bangla,Simple,Present
সে প্রতিদিন সকালের খবরপত্র পড়বে!,Bangla,Simple,Future
কী মিষ্টি সুর বাজল!,Bangla,Simple,Past
"আমার বাবা গাড়ি ঠিক করেন, আর পুরোনো মডেলের গাড়ি মেরামত করতেও ভালোবাসেন।",Bangla,Compound,Present
গ্রীষ্মের দিনের শেষে সন্ধ্যাটি কতটা শীতল লাগে!,Bangla,Complex,Present
We ate lunch at a new café since we wanted to try something different.,English,Complex,Past
"It rains a lot in April, but the flowers bloom beautifully because of the rain.",English,Compound-complex,Present
আমরা আজ রাতে কত দুর্দান্ত শো দেখব!,Bangla,Simple,Future
You will please bring snacks for the movie night.,English,Simple,Future
How close the mountains appear when the air is clear!,English,Complex,Present
What a happy dog barks loudly when it sees its owner!,English,Complex,Present
"সে চশমা পরেন, এবং সবসময় এক জোড়া অতিরিক্ত চশমা রাখেন যদি হারিয়ে ফেলে।",Bangla,Compound-complex,Present
"খাওয়ার পরে বাসন ধুয়ে ফেলো, যাতে রান্নাঘর পরিষ্কার থাকে।",Bangla,Complex,Present
I rode my bike around the park while listening to music.,English,Complex,Past
He fixes broken toys when he has the tools and time.,English,Complex,Present
Do you enjoy playing board games?,English,Simple,Present
You will please let the baby nap in peace.,English,Simple,Future
You will not post unkind messages online.,English,Simple,Future
"শহরের আলো ম্লান হলে তারা কত পরিষ্কার ঝলমল করে, আর গ্রামের আকাশ কত জাদুকরী দেখায়!",Bangla,Compound,Present
"How high the kite flies, and how beautifully it dances in the sky!",English,Compound,Present
Show me how brightly your smile can shine!,English,Complex,Present
"We shared a dessert, and lunch had just ended.",English,Compound,Past
বইগুলো কী নিখুঁতভাবে শেলফে সাজানো যেন জাদুতে হয়েছে!,Bangla,Complex,Present
"আমরা কি প্রতি সোমবার মিটিং করি, নাকি শুধু প্রয়োজনে?",Bangla,Compound,Present
"Take your pet outside for a walk, and keep it on a leash if the area is busy.",English,Compound-complex,Present
"He fixed his glasses with tape, but the frame had broken.",English,Compound,Past
Use a napkin while eating.,English,Simple,Present
"প্রতিদিন প্রচুর পানি খাও, আর সকালে ক্ষুধা না লাগলেও পুষ্টিকর খাবার খাও।",Bangla,Compound-complex,Present
"They will play football after school, and they will practice together until it gets dark.",English,Compound-complex,Future
পানিটা কত ঠান্ডা!,Bangla,Simple,Present
"Write your homework down, and review it later.",English,Compound,Present
সে কি ব্রেসলেট পরে?,Bangla,Simple,Present
What a strong swimmer she was!,English,Simple,Past
What a beautiful melody the guitar will play!,English,Simple,Future
"How quickly the children learn, and how eagerly they ask questions!",English,Compound,Present
He climbed the hill before sunset so he could enjoy the view.,English,Complex,Past
Do you listen to music while working?,English,Simple,Present
"ময়লা রিসাইক্লিং বিনে ফেলো, এবং পরিবেশ রক্ষায় সাহায্য করো।",Bangla,Compound,Present
Did he wear boots yesterday?,English,Simple,Past
বৃষ্টি পড়া শুরু হলেও আমি স্কুল থেকে হেঁটে বাসায় গিয়েছিলাম।,Bangla,Complex,Past
We visited the zoo last weekend because the weather was nice.,English,Complex,Past
"কোথাও যাওয়ার আগে বাতি বন্ধ করো, এবং বিদ্যুৎ সাশ্রয় করো।",Bangla,Compound,Present
সে কি ভ্রমণ পছন্দ করে কারণ সে নতুন জায়গা আবিষ্কার করতে ভালোবাসে?,Bangla,Complex,Present
সে প্রতিদিন সন্ধ্যায় খবর দেখে যাতে বর্তমান ঘটনার সম্পর্কে আপডেট থাকে।,Bangla,Complex,Present
"তুমি যখন বাসন ধোও তা কত পরিষ্কার ঝলমল করে, আর তুমি যখন রান্নাঘর শেষ করো কত তাজা গন্ধ ছড়ায়!",Bangla,Compound-complex,Present
What a clear day we will have tomorrow!,English,Simple,Future
"How fast the boat sails, and how smoothly it cuts through the waves!",English,Compound,Present
আমি প্রতি সপ্তাহে আমার ডেস্ক গোছাই।,Bangla,Simple,Present
রাতের খাবারের পর কিছুক্ষণ টিভি দেখো।,Bangla,Simple,Present
সে কি বাসে করে অফিসে যাবে?,Bangla,Simple,Future
পড়াশোনার মাঝে মাঝে বিরতি নাও।,Bangla,Simple,Present
"তুমি যখন খাবার তৈরি করো, কত ধারালো ছুরি ব্যবহার করো, এবং এটি কত সহজে কঠিন উপাদান কেটে ফেলে!",Bangla,Compound,Present
"আমি রান্নার পর রান্নাঘর পরিষ্কার করেছিলাম কারণ সেটি অনেক ঝাঁঝালো ছিল, এবং আমি সব কিছু পরিষ্কার রাখতে চেয়েছিলাম।",Bangla,Compound-complex,Past
খেলনাগুলো তাকেতে ফিরিয়ে রাখো যাতে ঘর গুছিয়ে থাকে।,Bangla,Complex,Present
"She taught yoga on Saturdays, which helped her stay active and healthy.",English,Complex,Past
Say “goodbye” when you leave.,English,Simple,Present
"যখন চাকুটা নতুন করে ধার দেওয়া থাকে, তা কত তীক্ষ্ণভাবে কাটে!",Bangla,Complex,Present
"সে লিভিং রুমের দেওয়াল পেন্ট করবে, এবং পেইন্ট শুকানোর পর ফার্নিচার পুনরায় সাজাবে।",Bangla,Compound-complex,Future
"তুমি কি প্রায়ই তোমার বন্ধুদের ফোন করো যখন তাদের খবর নিতে চাও, এবং কি তুমি তাদের সাথে সামনাসামনি দেখা করো?",Bangla,Compound-complex,Present
"কত উষ্ণ সূর্যের তাপ লাগে ত্বকে, দীর্ঘ শীতল ও ধূসর দিনের পর, আর কত উচ্ছ্বাস নিয়ে আসে তার কোমল স্পর্শ!",Bangla,Compound-complex,Present
"Do you write stories, or do you write poems when you’re feeling inspired?",English,Compound-complex,Present
"তুমি কি জানো সে কি আইসক্রিম পছন্দ করে, নাকি অন্য মিষ্টান্ন পছন্দ করে?",Bangla,Compound,Present
Did we eat at the new restaurant yesterday?,English,Simple,Past
শিশুরা কি শনিবার ফুটবল খেলে?,Bangla,Simple,Present
I read newspapers in the morning while drinking coffee.,English,Complex,Present
খেলা শেষ হলে পরিষ্কার করতে সাহায্য করো।,Bangla,Complex,Present
"শিশুরা গান গাইবে, এবং শুক্রবার কনসার্ট হবে, যদিও তাদের কেউ কেউ এখনো নার্ভাস।",Bangla,Compound-complex,Future
"What a happy dog wags its tail whenever its owner comes home, and how excited it is to see them again after being alone!",English,Compound-complex,Present
"যদিও মাটি শক্ত, তারা বাগানে গাছ লাগাবে।",Bangla,Complex,Future
You will not write over someone’s notes.,English,Simple,Future
সপ্তাহান্তে স্পোর্টসের জিনিসপত্র নিয়ে যাও।,Bangla,Simple,Present
গ্রীষ্মকালে আমরা কত পরিষ্কার নদীতে সাঁতার কাটব!,Bangla,Simple,Future
You will please follow the instructions carefully.,English,Simple,Future
সবশেষ কেকের টুকরো কে নেবে?,Bangla,Simple,Future
Can you tell me if you take a nap in the afternoon?,English,Complex,Present
"কাজের সময় কি ফোন প্রায়ই বাজে, এবং তুমি কি সাধারণত সেটি ধরো?",Bangla,Compound-complex,Present
"আমি প্রতিদিন স্কুলে হেঁটে যাব, যদি ভারী বৃষ্টি না হয়।",Bangla,Complex,Future
I will study for my test before I go to bed tonight.,English,Complex,Future
"তারা রাতের খাবার খাবে, এবং তারা টিভিতে সকার ম্যাচ দেখবে।",Bangla,Compound,Future
কুকুরটি আমাদের পার্ক পর্যন্ত অনুসরণ করেছিল।,Bangla,Simple,Past
"আমি কাজ করার সময় গান শুনি কারণ এটা মনোযোগ ধরে রাখতে সাহায্য করে, এবং এমন প্লেলিস্ট বেছে নিই যা আমাকে উদ্দীপ্ত রাখে।",Bangla,Compound-complex,Present
"We saw a rainbow after the rain stopped, and the sun shone brightly again.",English,Compound-complex,Past
What a lovely garden they planted!,English,Simple,Past
"Close the door softly, and check if it’s locked when you leave the room.",English,Compound-complex,Present
"সে কী মনোযোগ দিয়ে পডকাস্ট শোনে যাতায়াতের সময়, আর ট্রেন কোলাহলময় হলেও, সে সব কিছু আত্মস্থ করে!",Bangla,Compound-complex,Present
"How skillfully she paints, and how carefully she blends the colors as she listens to her favorite music!",English,Compound-complex,Present
"অফিসে তোমার স্যুট পরো, আর আগের রাতে তা ইস্ত্রি করো, যদিও দেখতে ঠিকঠাক মনে হয়।",Bangla,Compound-complex,Present
কাজ শেষ হলে খাতা বন্ধ করে রাখো।,Bangla,Simple,Present
"The dog chewed on a new toy, and I read my book.",English,Compound,Past
ডিসেম্বরে কত ঠাণ্ডা পড়বে!,Bangla,Simple,Future
You will please unplug the charger after use.,English,Simple,Future
Does he clean his room regularly?,English,Simple,Present
ঘরটা কত সুন্দর সুরে ভরে উঠেছে!,Bangla,Simple,Present
বিরতির সময়ে একটু হাঁটাহাঁটি করো যাতে মন ফ্রেশ হয়।,Bangla,Complex,Present
She teaches English at a school because she loves helping students.,English,Complex,Present
"The dog barked at the cat, and it entered the house.",English,Compound,Past
The dog will wag its tail happily.,English,Simple,Future
"যদি তারা টিকিট পায়, তারা একটি মিউজিক কনসার্টে অংশ নেবে।",Bangla,Complex,Future
"গিদার কত ধারালো ভাবে উড়ে, এবং কত মার্জিতভাবে পাহাড়ের উপরে ছায়াপথ করে!",Bangla,Compound,Present
সঙ্গঠিত থাকতে এবং সময়সীমা মিস না করতে তোমার ক্যালেন্ডার ব্যবহার করো।,Bangla,Complex,Present
"আমি আজ বাথরুম পরিষ্কার করব, কিন্তু পরিষ্কার করতে ভালো লাগে না যদিও এটা করতে হবে।",Bangla,Compound-complex,Future
শহর জেগে উঠলে নিওন বাতিগুলো কত উজ্জ্বলভাবে জ্বলে!,Bangla,Complex,Present
"লাইব্রেরির বই ভুলে যেও না, এবং সময়মতো ফেরত দাও।",Bangla,Compound,Present
তুষারপাত শুরু হলে চারপাশে কী শান্ত নিঃশব্দতা ছড়িয়ে পড়ে!,Bangla,Complex,Present
আমি আমার বন্ধুদের কাছে ইমেইল লিখি।,Bangla,Simple,Present
"She will finish her errands, and she will visit the museum.",English,Compound,Future
Water the plants regularly.,English,Simple,Present
Do you prefer summer or winter?,English,Simple,Present
The dog will bark at the mailman when he arrives tomorrow.,English,Complex,Future
"কাজে যাওয়ার জন্য বাস নাও, অথবা আবহাওয়া ভালো হলে সাইকেল চালাও।",Bangla,Compound-complex,Present
"How well they perform on stage while the audience watches silently, and how every movement is perfectly timed!",English,Compound,Present
How softly the snow muffled the sounds of the city!,English,Simple,Past
"Do you know whether the kids like to play outside, or do they stay indoors more often?",English,Compound,Present
"কত দ্রুত বাচ্চারা হাসে, আর কত জোরে তাদের আনন্দ ঘর ভরে, যদিও দিনটা ছিল দীর্ঘ ও ক্লান্তিকর!",Bangla,Compound-complex,Present
"বাচ্চাটি ক্ষুধার্ত, আর সে কাঁদে।",Bangla,Compound,Present
"Help clean the classroom after school to keep it neat, and encourage others to do the same.",English,Compound-complex,Present
"What a deep voice he has though he is young, and how clearly it carries across the room when he speaks!",English,Compound-complex,Present
আমি স্কুলের জন্য একটি কবিতা লিখলাম।,Bangla,Simple,Past
তুমি কি জানো সে কি পারফিউম ব্যবহার করে?,Bangla,Complex,Present
"তুমি কত সুন্দরভাবে ঘর গুছিয়ে রাখো সবসময়, যদিও তুমি অনেক ব্যস্ত, আর কী মৃদু বৃষ্টি পড়ে পৃথিবীকে স্নিগ্ধ করে ফুলকে পুষ্ট করে!",Bangla,Compound-complex,Present
"We will watch the sunrise on vacation because it’s a beautiful sight, and we will take lots of photos.",English,Compound-complex,Future
"আমি হাত ধুই, তারপর রাতের খাবার খেতে শুরু করি।",Bangla,Compound,Present
You will not turn the TV up too loud.,English,Simple,Future
"সোমবারে ময়লা ফেলে দাও, এবং তোমার ঘর পরিষ্কার রাখো।",Bangla,Compound,Present
"Does he swim in the lake if the water is warm, or does he stay on the shore?",English,Compound-complex,Present
"How tall the sunflower grows because it’s had enough sunlight, and how proudly it stands though the wind is strong!",English,Compound-complex,Present
You will not walk away during the discussion.,English,Simple,Future
বিমানটা কত উঁচুতে উড়ছে!,Bangla,Simple,Present
নিয়ন সাইনগুলো কত উজ্জ্বলভাবে জ্বলছে!,Bangla,Simple,Present
"আজ কি বাতাস জোরে বইছে, নাকি শান্ত আছে?",Bangla,Compound,Present
"তুমি যে উজ্জ্বল বুদ্ধিমানের পরিকল্পনা করেছো প্রকল্প উন্নতির জন্য, আর ঝর্ণার জল কত পরিষ্কার প্রবাহিত হচ্ছে!",Bangla,Compound,Present
আমরা কি বৃষ্টির দিনে বোর্ড গেম খেলি?,Bangla,Simple,Present
তুমি কারও ধারণা নিয়ে উপহাস করবে না।,Bangla,Simple,Future
"আমি একটি চিঠি লিখেছিলাম, আর সেটা আমার কাজিনকে পাঠিয়েছিলাম।",Bangla,Compound,Past
আমি কফি ব্রু হতে থাকাকালীন সকালের নাশতার জন্য ডিম রান্না করেছিলাম।,Bangla,Complex,Past
আমরা রবিবারে পার্কে হাঁটতাম।,Bangla,Simple,Past
"ট্রেন সকাল ৯টায় ছেড়ে গিয়েছিল, কিন্তু আমরা দেরি করে পৌঁছানোর কারণে মিস করে ফেলেছিলাম।",Bangla,Compound-complex,Past
Keep your hands off the wet paint because it hasn’t dried yet.,English,Complex,Present
"The cat chases mice in the garden, and it hides afterward because it doesn't want to be caught.",English,Compound-complex,Present
নদীর ধারে গাছটি কত উঁচু হয়ে উঠেছে!,Bangla,Complex,Present
"We celebrated our anniversary with dinner after making a reservation, and we had a lovely evening.",English,Compound-complex,Past
কেকের ওপর মোমবাতি কত উজ্জ্বল আলো ছড়াবে!,Bangla,Simple,Future
"যখন জল শান্ত ও স্থির থাকে, তখন নৌকাটি কত মসৃণভাবে চলে!",Bangla,Complex,Present
She studied for the test all night because she wanted a good grade.,English,Complex,Past
ঘর নিস্তব্ধ থাকলে ঘড়ির কাঁটা কত দ্রুত টিক টিক করে!,Bangla,Complex,Present
সে লিক হওয়া পাইপটি ঠিক করবে।,Bangla,Simple,Future
The kids play in the park after school.,English,Simple,Present
"তারা শনিবার একটি সিনেমা দেখেছিল, আর তখন বাইরে বৃষ্টি হচ্ছিল।",Bangla,Compound,Past
"তারা একটি স্থানীয় খামারে গিয়েছিল, আর তারা অনেক প্রাণী দেখেছিল।",Bangla,Compound,Past
"বেকারি সকাল ৬টায় খুলবে, যাতে আগাম বেলুনেরা তাজা রুটি কিনতে পারে।",Bangla,Complex,Future
He listens to the news every morning because he likes to stay informed.,English,Complex,Present
"বাচ্চাটি সারারাত ঘুমাবে, এবং তার বাবা-মা ভালো বিশ্রাম নেবে যখন সে তার সময়সূচীতে অভ্যস্ত হবে।",Bangla,Compound-complex,Future
সকাল শুরু হলে সূর্য জানালার মাধ্যমে আলো ছড়ায়।,Bangla,Complex,Present
They paint their house every summer when the weather is dry.,English,Complex,Present
"ঘড়িটি জোরে টিকটিক শব্দ করে, আর এটি আমাকে সময়ের কথা মনে করিয়ে দেয়।",Bangla,Compound,Present
"How fast the horses gallop, and how strong their riders are!",English,Compound,Present
"তারা বিয়েতে গভীর রাত পর্যন্ত নেচেছিল, এবং পরদিন তারা ক্লান্ত হলেও খুশি ছিল।",Bangla,Compound-complex,Past
He will repair the broken door because it is unsafe to use.,English,Complex,Future
"সে প্রাতঃরাশের আগে কফি খায় কারণ এটি তাকে জাগিয়ে তোলে, এবং সে স্বাদ উপভোগ করে।",Bangla,Compound-complex,Present
What a strong wind will blow across the plains!,English,Simple,Future
"How warm the blanket feels tonight although the air is cold, and how snug it keeps you as you drift to sleep!",English,Compound-complex,Present
They baked cookies for the school event since they wanted to help.,English,Complex,Past
She will learn to drive next month because she needs more independence.,English,Complex,Future
"সে ইতিহাস পড়ছিল, এবং অনেক নোট নিয়েছিল কারণ পরীক্ষা দ্রুত আসছিল।",Bangla,Compound-complex,Past
"I will bake cookies every weekend, and my family will love them, especially when I try new recipes that I will find online.",English,Compound-complex,Future
We will eat dinner at 7 p.m. after everyone arrives home.,English,Complex,Future
"এই কম্বলের অনুভূতি কতটা নরম, এবং এটি বিশেষ করে শীতের রাতে কী দারুণ আরাম দেয়!",Bangla,Compound-complex,Present
সে একাই ফুটবল ম্যাচ দেখেছিল।,Bangla,Simple,Past
"What a strong swimmer she is even though the water is cold, and how easily she crosses the lake every morning before sunrise!",English,Compound-complex,Present
